,INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
8374,2011-043B,37782,ROCKET BODY,CZ-4B R/B,PRC,2011-08-15,TSC,,100.07,99.46,898,626,,,0,LARGE,9059,2011,43,B,Y,CZ-4B R/B,2011-043B,37782
8375,2011-044E,37792,PAYLOAD,APRIZESAT 5,US,2011-08-17,OREN,,97.33,98.23,670,592,,,0,MEDIUM,9059,2011,44,E,Y,APRIZESAT 5,2011-044E,37792
8376,1999-025ENF,37906,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,104.32,99.63,1083,842,,,0,SMALL,9059,1999,25,ENF,Y,FENGYUN 1C DEB,1999-025ENF,37906
8377,1997-051YQ,38028,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,99.65,86.33,761,722,,,0,SMALL,9059,1997,51,YQ,Y,IRIDIUM 33 DEB,1997-051YQ,38028
8378,2011-079A,38038,PAYLOAD,ZY 1,PRC,2011-12-22,TSC,,100.17,98.46,770,763,,,0,LARGE,9059,2011,79,A,Y,ZY 1,2011-079A,38038
8379,2011-080A,38040,PAYLOAD,GLOBALSTAR M084,GLOB,2011-12-28,TTMTR,,114.08,52.00,1414,1413,,,0,LARGE,9059,2011,80,A,Y,GLOBALSTAR M084,2011-080A,38040
8380,2011-080C,38042,PAYLOAD,GLOBALSTAR M082,GLOB,2011-12-28,TTMTR,,114.08,52.01,1414,1413,,,0,LARGE,9059,2011,80,C,Y,GLOBALSTAR M082,2011-080C,38042
8381,1993-036BRM,38055,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.79,74.01,705,601,,,0,SMALL,9059,1993,36,BRM,Y,COSMOS 2251 DEB,1993-036BRM,38055
8382,1993-036BRW,38064,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.06,74.02,749,678,,,0,SMALL,9059,1993,36,BRW,Y,COSMOS 2251 DEB,1993-036BRW,38064
8383,1999-025EQG,38135,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.11,98.69,974,649,,,0,SMALL,9059,1999,25,EQG,Y,FENGYUN 1C DEB,1999-025EQG,38135
8384,2007-019C,38263,DEBRIS,YAOGAN 2 DEB,PRC,2007-05-25,JSC,,100.40,97.94,923,632,,,0,SMALL,9059,2007,19,C,Y,YAOGAN 2 DEB,2007-019C,38263
8385,2009-069B,38265,DEBRIS,YAOGAN 7 DEB,PRC,2009-12-09,JSC,,100.65,97.83,943,636,,,0,SMALL,9059,2009,69,B,Y,YAOGAN 7 DEB,2009-069B,38265
8386,1988-005AK,38282,DEBRIS,METEOR 2-17 DEB,CIS,1988-01-30,PKMTR,,102.79,82.54,906,875,,,0,SMALL,9059,1988,5,AK,Y,METEOR 2-17 DEB,1988-005AK,38282
8387,2012-025C,38339,PAYLOAD,SDS-4,JPN,2012-05-17,TNSTA,,97.66,98.15,652,642,,,0,MEDIUM,9059,2012,25,C,Y,SDS-4,2012-025C,38339
8388,2012-025E,38341,ROCKET BODY,H-2A R/B,JPN,2012-05-17,TNSTA,,96.52,98.43,626,558,,,0,LARGE,9059,2012,25,E,Y,H-2A R/B,2012-025E,38341
8389,2012-025H,38347,DEBRIS,H-2A DEB,JPN,2012-05-17,TNSTA,,96.79,98.16,610,600,,,0,LARGE,9059,2012,25,H,Y,H-2A DEB,2012-025H,38347
8390,2012-029A,38354,PAYLOAD,YAOGAN 15,PRC,2012-05-29,TSC,,109.23,100.76,1210,1172,,,0,LARGE,9059,2012,29,A,Y,YAOGAN 15,2012-029A,38354
8391,1965-027BV,38368,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.12,90.25,1294,1262,,,0,SMALL,9059,1965,27,BV,Y,OPS 4682 DEB,1965-027BV,38368
8392,1965-027CD,38376,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.14,90.24,1300,1258,,,0,SMALL,9059,1965,27,CD,Y,OPS 4682 DEB,1965-027CD,38376
8393,1965-027CW,38393,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.93,90.25,1288,1251,,,0,SMALL,9059,1965,27,CW,Y,OPS 4682 DEB,1965-027CW,38393
8394,1965-027CZ,38396,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.97,90.25,1297,1246,,,0,SMALL,9059,1965,27,CZ,Y,OPS 4682 DEB,1965-027CZ,38396
8395,1965-027DG,38403,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.27,90.25,1307,1263,,,0,SMALL,9059,1965,27,DG,Y,OPS 4682 DEB,1965-027DG,38403
8396,1965-027DH,38404,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.81,90.24,1281,1247,,,0,SMALL,9059,1965,27,DH,Y,OPS 4682 DEB,1965-027DH,38404
8397,1965-027ED,38424,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.46,90.25,1271,1224,,,0,SMALL,9059,1965,27,ED,Y,OPS 4682 DEB,1965-027ED,38424
8398,1965-027EY,38443,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.72,90.24,1285,1235,,,0,SMALL,9059,1965,27,EY,Y,OPS 4682 DEB,1965-027EY,38443
8399,1965-027FH,38452,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.30,90.25,1299,1274,,,0,SMALL,9059,1965,27,FH,Y,OPS 4682 DEB,1965-027FH,38452
8400,1997-051AAB,38474,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,99.39,86.36,748,710,,,0,SMALL,9059,1997,51,AAB,Y,IRIDIUM 33 DEB,1997-051AAB,38474
8401,2012-039C,38709,PAYLOAD,EXACTVIEW-1,CA,2012-07-22,TTMTR,,101.07,98.95,818,801,,,0,MEDIUM,9059,2012,39,C,Y,EXACTVIEW-1,2012-039C,38709
8402,2012-041A,38733,PAYLOAD,COSMOS 2481,CIS,2012-07-28,PKMTR,,115.90,82.48,1512,1481,,,0,MEDIUM,9059,2012,41,A,Y,COSMOS 2481,2012-041A,38733
8403,2012-041B,38734,PAYLOAD,GONETS M 03,CIS,2012-07-28,PKMTR,,115.67,82.48,1500,1472,,,0,LARGE,9059,2012,41,B,Y,GONETS M 03,2012-041B,38734
8404,2012-041D,38736,PAYLOAD,GONETS M 04,CIS,2012-07-28,PKMTR,,115.77,82.48,1510,1470,,,0,LARGE,9059,2012,41,D,Y,GONETS M 04,2012-041D,38736
8405,2012-047A,38755,PAYLOAD,SPOT 6,FR,2012-09-09,SRI,,98.73,98.19,699,697,,,0,LARGE,9059,2012,47,A,Y,SPOT 6,2012-047A,38755
8406,2012-049A,38771,PAYLOAD,METOP-B,EUME,2012-09-17,TTMTR,,101.31,98.59,821,820,,,0,LARGE,9059,2012,49,A,Y,METOP-B,2012-049A,38771
8407,2012-052A,38782,PAYLOAD,VRSS-1,VENZ,2012-09-29,JSC,,97.39,97.57,646,621,,,0,LARGE,9059,2012,52,A,Y,VRSS-1,2012-052A,38782
8408,1999-025EUZ,38809,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.62,98.60,999,671,,,0,SMALL,9059,1999,25,EUZ,Y,FENGYUN 1C DEB,1999-025EUZ,38809
8409,1999-025EVK,38819,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.51,98.61,887,773,,,0,SMALL,9059,1999,25,EVK,Y,FENGYUN 1C DEB,1999-025EVK,38819
8410,1999-025EVY,38832,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.62,99.29,946,819,,,0,SMALL,9059,1999,25,EVY,Y,FENGYUN 1C DEB,1999-025EVY,38832
8411,2012-066D,39014,ROCKET BODY,CZ-4C R/B,PRC,2012-11-25,JSC,,105.00,63.39,1423,566,,,0,LARGE,9059,2012,66,D,Y,CZ-4C R/B,2012-066D,39014
8412,2012-066F,39016,DEBRIS,CZ-4C DEB,PRC,2012-11-25,JSC,,107.06,63.36,1394,787,,,0,LARGE,9059,2012,66,F,Y,CZ-4C DEB,2012-066F,39016
8413,2012-068A,39019,PAYLOAD,PLEIADES 1B,FR,2012-12-02,FRGUI,,98.73,98.20,699,697,,,0,LARGE,9059,2012,68,A,Y,PLEIADES 1B,2012-068A,39019
8414,2012-073A,39030,PAYLOAD,GOKTURK 2,TURK,2012-12-18,JSC,,97.64,97.72,647,644,,,0,LARGE,9059,2012,73,A,Y,GOKTURK 2,2012-073A,39030
8415,1990-081DP,39055,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,101.21,98.71,821,811,,,0,SMALL,9059,1990,81,DP,Y,CZ-4 DEB,1990-081DP,39055
