,COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
48,INTERNATIONAL SPACE STATION,ISS,0,5,0,0,5,1,0,100,101,106
49,ITALY,IT,0,52,2,0,54,31,0,2,33,87
50,INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT),ITSO,0,92,0,20,112,1,0,0,1,113
51,HASHEMITE KINGDOM OF JORDAN,JOR,0,1,0,0,1,0,0,0,0,1
52,JAPAN,JPN,6,205,56,43,310,114,82,356,552,862
53,KAZAKHSTAN,KAZ,0,7,0,0,7,1,0,0,1,8
54,REPUBLIC OF KENYA,KEN,0,1,0,0,1,1,0,0,1,2
55,Kuwait,KWT,0,1,0,0,1,1,0,0,1,2
56,LAOS,LAOS,0,1,0,0,1,0,0,0,0,1
57,DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA,LKA,0,0,0,0,0,1,0,0,1,1
58,LITHUANIA,LTU,0,3,0,0,3,11,0,0,11,14
59,LUXEMBOURG,LUXE,0,10,0,0,10,9,0,0,9,19
60,MOROCCO,MA,0,4,0,0,4,0,0,0,0,4
61,MALAYSIA,MALA,0,9,0,0,9,0,0,0,0,9
62,Monaco,MCO,0,0,0,0,0,1,0,0,1,1
63,"Moldova, Republic of",MDA,0,0,0,0,0,1,0,0,1,1
64,MEXICO,MEX,0,9,0,0,9,3,0,0,3,12
65,REPUBLIC OF THE UNION OF MYNAMAR,MMR,0,0,0,0,0,1,0,0,1,1
66,MONGOLIA,MNG,0,0,0,0,0,1,0,0,1,1
67,Mauritius,MUS,0,0,0,0,0,1,0,0,1,1
68,NORTH ATLANTIC TREATY ORGANIZATION,NATO,0,8,0,0,8,0,0,0,0,8
69,NETHERLANDS,NETH,0,8,0,0,8,7,0,0,7,15
70,NEW ICO,NICO,0,1,0,0,1,0,0,0,0,1
71,NIGERIA,NIG,0,5,0,0,5,1,0,0,1,6
72,NORTH KOREA,NKOR,0,1,2,0,3,2,1,2,5,8
73,NORWAY,NOR,0,21,1,0,22,1,0,0,1,23
74,FEDERAL DEMOCRATIC REPUBLIC OF NEPAL,NPL,0,0,0,0,0,1,0,0,1,1
75,NEW ZEALAND,NZ,0,0,0,0,0,24,0,0,24,24
76,O3B NETWORKS,O3B,0,20,0,0,20,0,0,0,0,20
77,ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR),ORB,0,58,0,8,66,1,0,27,28,94
78,PAKISTAN,PAKI,0,8,0,0,8,1,0,0,1,9
79,PERU,PER,0,2,0,0,2,2,0,0,2,4
80,POLAND,POL,0,6,0,0,6,12,0,0,12,18
81,PORTUGAL,POR,0,3,0,0,3,0,0,0,0,3
82,PEOPLES REPUBLIC OF CHINA,PRC,288,821,227,4494,5830,296,330,1950,2576,8406
83,Commonwealth of Puerto Rico,PRI,0,0,0,0,0,1,0,0,1,1
84,REPUBLIC OF PARAGUAY,PRY,0,0,0,0,0,1,0,0,1,1
85,STATE OF QATAR,QAT,0,2,0,0,2,0,0,0,0,2
86,REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG,RASC,0,2,0,0,2,0,0,0,0,2
87,ROMANIA,ROM,0,0,0,0,0,1,0,0,1,1
88,REPUBLIC OF PHILIPPINES,RP,0,2,0,0,2,6,0,0,6,8
89,REPUBLIC OF RWANDA,RWA,0,6,0,0,6,2,0,0,2,8
90,SOUTH AFRICA,SAFR,0,5,0,0,5,6,0,0,6,11
91,SAUDI ARABIA,SAUD,0,15,0,0,15,0,0,0,0,15
92,REPUBLIC OF SUDAN,SDN,0,0,0,0,0,1,0,0,1,1
93,SEA LAUNCH DEMO,SEAL,0,1,30,3,34,0,3,0,3,37
94,SOCIÉTÉ EUROPÉENNE DES SATELLITES,SES,0,76,0,0,76,1,0,0,1,77
95,SINGAPORE,SING,0,19,0,0,19,6,0,0,6,25
96,SOUTH KOREA,SKOR,6,42,3,0,51,6,1,0,7,58
97,SPAIN,SPN,1,45,0,0,46,29,0,0,29,75
98,SINGAPORE/TAIWAN,STCT,0,2,0,0,2,0,0,0,0,2
99,Slovakia,SVK,0,0,0,0,0,1,0,0,1,1
100,REPUBLIC OF SLOVENIA,SVN,0,2,0,0,2,1,0,0,1,3
101,SWEDEN,SWED,0,13,0,0,13,1,0,0,1,14
102,SWITZERLAND,SWTZ,0,18,0,0,18,4,0,0,4,22
103,TO BE DETERMINED/UNKNOWN,TBD,255,2,0,0,257,125,0,0,125,382
104,THAILAND,THAI,0,12,0,0,12,2,0,0,2,14
105,TURKMENISTAN/MONACO,TMMC,0,1,0,0,1,0,0,0,0,1
106,REPUBLIC OF TUNISIA,TUN,0,1,0,0,1,0,0,0,0,1
107,TURKEY,TURK,0,32,0,0,32,5,0,0,5,37
108,TAIWAN,TWN,0,23,0,0,23,5,0,2,7,30
109,UNITED ARAB EMIRATES,UAE,0,16,0,0,16,6,0,0,6,22
110,Uganda,UGA,0,0,0,0,0,1,0,0,1,1
111,UNITED KINGDOM,UK,0,720,1,0,721,25,0,5,30,751
112,UKRAINE,UKR,0,5,2,0,7,3,0,0,3,10
113,URUGUAY,URY,0,1,0,0,1,0,0,0,0,1
114,UNITED STATES OF AMERICA,US,4,9029,778,4044,13855,3036,806,5566,9408,23263
115,UNITED STATES/BRAZIL,USBZ,0,1,0,0,1,0,0,0,0,1
116,VENEZUELA,VENZ,0,3,0,0,3,0,0,0,0,3
117,VIETNAM,VTNM,0,3,0,0,3,2,0,0,2,5
118,Zimbabwe,ZWE,0,0,0,0,0,1,0,0,1,1
119,ALL,ALL,585,13978,2375,13226,30164,6250,4302,22358,32910,63074
