,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
25287,1965-027AY,OPS 4682 DEB,19950,US,111.21,90.24,1306.0,1259.0,SMALL,0,1965-04-03,
25288,1970-091AX,COSMOS 375 DEB,19949,CIS,102.91,62.6,1299.0,494.0,SMALL,0,1970-10-30,
25289,1970-025QD,THORAD AGENA D DEB,19948,US,112.98,99.63,1682.0,1044.0,SMALL,0,1970-04-08,
25290,1963-014EU,WESTFORD NEEDLES,19946,US,165.83,87.19,3979.0,3261.0,MEDIUM,0,1963-05-09,
25291,1989-005D,SL-8 DEB,19945,CIS,99.09,74.06,730.0,701.0,SMALL,0,1989-01-26,
25292,1989-030D,SL-12 R/B(2),19931,CIS,1470.51,13.42,36532.0,36384.0,LARGE,0,1989-04-14,
25293,1989-030A,RADUGA 23,19928,CIS,1435.3,12.35,35855.0,35687.0,LARGE,0,1989-04-14,
25294,1989-028B,SL-8 R/B,19922,CIS,104.54,82.96,999.0,947.0,LARGE,0,1989-04-04,
25295,1989-028A,COSMOS 2016,19921,CIS,104.71,82.97,1011.0,951.0,LARGE,0,1989-04-04,
25296,1989-027B,ARIANE 2 R/B,19920,FR,280.9,3.94,15285.0,374.0,LARGE,0,1989-04-02,
25297,1989-027A,TELE-X,19919,SWED,1452.0,14.98,36109.0,36086.0,LARGE,0,1989-04-02,
25298,1989-021D,IUS R/B(2),19913,US,1431.4,9.47,35799.0,35590.0,LARGE,0,1989-03-13,
25299,1989-025J,SL-8 R/B,19910,CIS,117.7,74.01,1683.0,1472.0,LARGE,0,1989-03-24,
25300,1989-025H,COSMOS 2015,19909,CIS,115.75,74.01,1510.0,1469.0,MEDIUM,0,1989-03-24,
25301,1989-025G,COSMOS 2014,19908,CIS,115.54,74.01,1490.0,1471.0,MEDIUM,0,1989-03-24,
25302,1989-025F,COSMOS 2013,19907,CIS,115.37,74.01,1480.0,1465.0,MEDIUM,0,1989-03-24,
25303,1989-025E,COSMOS 2012,19906,CIS,115.18,74.01,1472.0,1455.0,MEDIUM,0,1989-03-24,
25304,1989-025D,COSMOS 2011,19905,CIS,115.0,74.01,1471.0,1439.0,MEDIUM,0,1989-03-24,
